회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
(주)상보,27580,2016,5,22,32602,  고무 및 플라스틱제품 제조업 ,2007-10-01,,5799.8,-18913.91,18465.38,2865.33,340.85,1550.37,7881.94,303.0
(주)서울리거,43710,2012,5,46,33309,  도매 및 상품 중개업 ,2002-07-11,,4601.61,1259.05,1690.82,-89.93,107.14,185.95,1448.57,49.0
(주)서희건설,35890,2012,5,41,64101,  종합 건설업 ,1999-12-24,,51076.84,-16973.58,56382.2,7637.01,0.0,0.0,4031.22,1104.0
(주)서희건설,35890,2013,5,41,64101,  종합 건설업 ,1999-12-24,,28690.21,-60488.58,66999.19,10789.28,0.0,0.0,11390.32,966.0
(주)서희건설,35890,2014,5,41,64101,  종합 건설업 ,1999-12-24,,99179.18,8936.03,68504.58,10873.63,0.0,0.0,10864.95,962.0
(주)서희건설,35890,2015,5,41,64101,  종합 건설업 ,1999-12-24,,110984.64,19893.3,70564.4,8644.84,0.0,0.0,11882.09,0.0
(주)서희건설,35890,2016,5,41,64101,  종합 건설업 ,1999-12-24,,137015.58,38913.04,79385.31,7549.74,0.0,0.0,11167.5,983.0
(주)셀루메드,49180,2015,5,21,32101,  의료용 물질 및 의약품 제조업 ,2002-05-23,,-1612.82,-11981.39,4495.05,2778.96,0.0,0.0,3607.0,74.0
(주)셀루메드,49180,2016,5,21,32101,  의료용 물질 및 의약품 제조업 ,2002-05-23,,-29236.41,-37492.89,3527.22,1859.04,0.0,0.0,3414.09,90.0
(주)셀루메드,49180,2017,5,21,32101,  의료용 물질 및 의약품 제조업 ,2002-05-23,,-653.26,-7884.46,3288.6,1785.47,0.0,0.0,2636.64,61.0
(주)셀트리온제약,68760,2012,5,21,32102,  의료용 물질 및 의약품 제조업 ,2006-02-03,,21306.62,3383.33,14770.66,267.0,1069.33,785.02,1159.88,325.0
(주)셀트리온제약,68760,2013,5,21,32102,  의료용 물질 및 의약품 제조업 ,2006-02-03,,22892.12,3622.35,14947.78,1059.79,1355.64,878.64,1050.32,325.0
(주)셀트리온제약,68760,2014,5,21,32102,  의료용 물질 및 의약품 제조업 ,2006-02-03,,27500.22,5909.85,15627.64,2663.81,1155.21,998.34,1186.95,348.0
(주)셀트리온제약,68760,2015,5,21,32102,  의료용 물질 및 의약품 제조업 ,2006-02-03,,28763.74,1059.74,18781.1,5265.25,1272.68,1030.76,1466.0,419.0
